"type","country","total_amount","year"
"08章 食用水果及坚果；甜瓜等水果的果皮","菲律宾",219361800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","沙特阿拉伯",18067000,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","新加坡",88692800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","韩国",35019600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","泰国",509482400,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","土耳其",55343400,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","阿拉伯联合酋长国",157192000,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","越南",1208148200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","中国台湾",19506200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","哈萨克斯坦",18513600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","南非",1132600,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","欧洲联盟",313982200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","比利时",8194200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","丹麦",583800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","英国",41101200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","德国",104078800,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","法国",13647200,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","意大利",21595000,"2024"
"08章 食用水果及坚果；甜瓜等水果的果皮","荷兰",93872800,"2024"
